time,speed,steering,x_angle,y_angle,z_angle,imu_yaw_rate
1746616033.719486,1.6518000364303589,0.251800000667572,-0.0134,0.0211,0.7484,1.2833
1746616033.771113,1.3525999784469604,0.251800000667572,-0.0134,0.0211,0.7484,1.2833
1746616033.7711987,1.3525999784469604,0.2702000141143799,-0.0134,0.0211,0.7484,1.2833
1746616033.7714667,1.3525999784469604,0.2702000141143799,-0.0147,0.0217,0.77,1.1434
1746616033.8271604,1.059999942779541,0.2702000141143799,-0.0147,0.0217,0.77,1.1434
1746616033.8272426,1.059999942779541,0.18559999763965607,-0.0147,0.0217,0.77,1.1434
1746616033.8275049,1.059999942779541,0.18559999763965607,-0.0169,0.0202,0.7845,0.6076
1746616033.8791203,1.059999942779541,0.09870000183582306,-0.0169,0.0202,0.7845,0.6076
1746616033.8793044,0.7526999711990356,0.09870000183582306,-0.0169,0.0202,0.7845,0.6076
1746616033.879444,0.7526999711990356,0.09870000183582306,-0.0187,0.0188,0.7914,0.2253
1746616033.9322984,0.4772999882698059,0.09870000183582306,-0.0187,0.0188,0.7914,0.2253
1746616033.9323819,0.4772999882698059,0.01940000057220459,-0.0187,0.0188,0.7914,0.2253
1746616033.9326386,0.4772999882698059,0.01940000057220459,-0.0198,0.018,0.7931,0.0272
1746616033.9843333,0.07739999890327454,0.01940000057220459,-0.0198,0.018,0.7931,0.0272
1746616033.9844239,0.07739999890327454,0.0,-0.0198,0.018,0.7931,0.0272
1746616033.9846969,0.07739999890327454,0.0,-0.0204,0.0177,0.7931,-0.0008
1746616034.03536,0.007199999876320362,0.0,-0.0204,0.0177,0.7931,-0.0008
1746616034.0354586,0.007199999876320362,0.0,-0.0204,0.0177,0.7931,-0.0008
1746616034.0357618,0.007199999876320362,0.0,-0.0205,0.0173,0.7931,-0.0005
1746616034.0872028,0.27970001101493835,0.0,-0.0205,0.0173,0.7931,-0.0005
1746616034.0872946,0.27970001101493835,0.0,-0.0205,0.0173,0.7931,-0.0005
1746616034.087583,0.27970001101493835,0.0,-0.0167,0.014,0.7932,-0.0001
1746616034.1430492,0.558899998664856,0.0,-0.0167,0.014,0.7932,-0.0001
1746616034.1431077,0.558899998664856,0.0,-0.0167,0.014,0.7932,-0.0001
1746616034.1432757,0.558899998664856,0.0,-0.0134,0.0112,0.7933,0.0
1746616034.1950612,0.8393999934196472,0.0,-0.0134,0.0112,0.7933,0.0
1746616034.1951294,0.8393999934196472,0.0,-0.0134,0.0112,0.7933,0.0
1746616034.195315,0.8393999934196472,0.0,-0.0109,0.0091,0.7933,0.0
1746616034.24316,1.0953999757766724,0.0,-0.0109,0.0091,0.7933,0.0
1746616034.243258,1.0953999757766724,0.0,-0.0109,0.0091,0.7933,0.0
1746616034.2435493,1.0953999757766724,0.0,-0.0091,0.0075,0.7934,0.0
1746616034.2953298,1.3530000448226929,0.0,-0.0091,0.0075,0.7934,0.0
1746616034.2953925,1.3530000448226929,0.0,-0.0091,0.0075,0.7934,0.0
1746616034.2955663,1.3530000448226929,0.0,-0.0076,0.0063,0.7934,0.0
1746616034.3510172,1.3530000448226929,0.0,-0.0076,0.0063,0.7934,0.0
1746616034.3511548,1.6119999885559082,0.0,-0.0076,0.0063,0.7934,0.0
1746616034.3512433,1.6119999885559082,0.0,-0.0065,0.0053,0.7934,0.0
1746616034.4030502,1.6119999885559082,0.0,-0.0065,0.0053,0.7934,0.0
1746616034.403182,1.8818999528884888,0.0,-0.0065,0.0053,0.7934,0.0
1746616034.4032688,1.8818999528884888,0.0,-0.0055,0.0045,0.7934,0.0
1746616034.4551435,2.1333999633789062,0.0,-0.0055,0.0045,0.7934,0.0
1746616034.455238,2.1333999633789062,0.0,-0.0055,0.0045,0.7934,0.0
1746616034.4555957,2.1333999633789062,0.0,-0.0049,0.004,0.7934,0.0
1746616034.5071611,2.3766000270843506,0.0,-0.0049,0.004,0.7934,0.0
1746616034.5072515,2.3766000270843506,0.0,-0.0049,0.004,0.7934,0.0
1746616034.5075312,2.3766000270843506,0.0,-0.0044,0.0035,0.7934,0.0
1746616034.5564528,2.6164000034332275,0.0,-0.0044,0.0035,0.7934,0.0
1746616034.5565462,2.6164000034332275,0.0,-0.0044,0.0035,0.7934,0.0
1746616034.5568273,2.6164000034332275,0.0,-0.004,0.0032,0.7934,0.0
1746616034.6084142,2.864500045776367,0.0,-0.004,0.0032,0.7934,0.0
1746616034.6085057,2.864500045776367,0.0,-0.004,0.0032,0.7934,0.0
1746616034.6087933,2.864500045776367,0.0,-0.0036,0.0029,0.7934,0.0
1746616034.6603258,3.093100070953369,0.0,-0.0036,0.0029,0.7934,0.0
1746616034.6604128,3.093100070953369,0.0,-0.0036,0.0029,0.7934,0.0
1746616034.6606834,3.093100070953369,0.0,-0.0034,0.0027,0.7934,0.0
1746616034.712366,3.336400032043457,0.0,-0.0034,0.0027,0.7934,0.0
1746616034.7124574,3.336400032043457,0.0,-0.0034,0.0027,0.7934,0.0
1746616034.7127466,3.336400032043457,0.0,-0.0032,0.0025,0.7934,0.0
1746616034.764296,3.5629000663757324,0.0,-0.0032,0.0025,0.7934,0.0
1746616034.764384,3.5629000663757324,0.0,-0.0032,0.0025,0.7934,0.0
1746616034.7646651,3.5629000663757324,0.0,-0.003,0.0024,0.7934,0.0
1746616034.8164287,3.7994000911712646,0.0,-0.003,0.0024,0.7934,0.0
1746616034.8165233,3.7994000911712646,0.0,-0.003,0.0024,0.7934,0.0
1746616034.8168113,3.7994000911712646,0.0,-0.0029,0.0023,0.7934,0.0
1746616034.8673956,4.023799896240234,0.0,-0.0029,0.0023,0.7934,0.0
1746616034.867479,4.023799896240234,0.0,-0.0029,0.0023,0.7934,0.0
1746616034.8677404,4.023799896240234,0.0,-0.0029,0.0022,0.7934,0.0
1746616034.9191406,4.080599784851074,0.0,-0.0029,0.0022,0.7934,0.0
1746616034.9192288,4.080599784851074,0.0,-0.0029,0.0022,0.7934,0.0
1746616034.9194996,4.080599784851074,0.0,-0.0033,0.0026,0.7934,0.0
1746616034.971099,3.746500015258789,0.0,-0.0033,0.0026,0.7934,0.0
1746616034.971184,3.746500015258789,0.07069999724626541,-0.0033,0.0026,0.7934,0.0
1746616034.9714472,3.746500015258789,0.07069999724626541,-0.0059,0.0079,0.7985,0.7587
